,Date,Open,High,Low,Close*,Adj Close**,Volume
0,1-Jan-21,3270,3363.89,3086,3206.2,3206.2,71528900
1,1-Dec-20,3188.5,3350.65,3072.82,3256.93,3256.93,77556200
2,1-Nov-20,3061.74,3366.8,2950.12,3168.04,3168.04,90810500
3,1-Oct-20,3208,3496.24,3019,3036.15,3036.15,116226100
4,1-Sep-20,3489.58,3552.25,2871,3148.73,3148.73,115899300
5,1-Aug-20,3180.51,3495,3073,3450.96,3450.96,83516600
6,1-Jul-20,2757.99,3344.29,2754,3164.68,3164.68,127502000
7,1-Jun-20,2448,2796,2437.13,2758.82,2758.82,87818300
8,1-May-20,2336.8,2525.45,2256.38,2442.37,2442.37,82584400
9,1-Apr-20,1932.97,2475,1889.15,2474,2474,124609800
10,1-Mar-20,1906.49,1996.33,1626.03,1949.72,1949.72,163809100
11,1-Feb-20,2010.6,2185.95,1811.13,1883.75,1883.75,92510100
12,1-Jan-20,1875,2055.72,1815.34,2008.72,2008.72,84698300
13,1-Dec-19,1804.4,1901.4,1735,1847.84,1847.84,68149600
14,1-Nov-19,1788.01,1824.69,1722.71,1800.8,1800.8,52076200
15,1-Oct-19,1746,1798.85,1685.06,1776.66,1776.66,70360500
16,1-Sep-19,1770,1853.66,1709.22,1735.91,1735.91,61172900
17,1-Aug-19,1871.72,1897.92,1743.51,1776.29,1776.29,79771200
18,1-Jul-19,1922.98,2035.8,1849.44,1866.78,1866.78,73148800
19,1-Jun-19,1760.01,1935.2,1672,1893.63,1893.63,74746500
20,1-May-19,1933.09,1964.4,1772.7,1775.07,1775.07,98214400
21,1-Apr-19,1800.11,1956.34,1798.73,1926.52,1926.52,81239200
22,1-Mar-19,1655.13,1823.75,1586.57,1780.75,1780.75,100832200
23,1-Feb-19,1638.88,1673.06,1566.76,1639.83,1639.83,80936900
24,1-Jan-19,1465.2,1736.41,1460.93,1718.73,1718.73,134001700
25,1-Dec-18,1769.46,1778.34,1307,1501.97,1501.97,154812700
26,1-Nov-18,1623.53,1784,1420,1690.17,1690.17,139290000
27,1-Oct-18,2021.99,2033.19,1476.36,1598.01,1598.01,183220800
28,1-Sep-18,2026.5,2050.5,1865,2003,2003,94445500
29,1-Aug-18,1784,2025.57,1776.02,2012.71,2012.71,96575800
30,1-Jul-18,1682.7,1880.05,1678.06,1777.44,1777.44,97521100
31,1-Jun-18,1637.03,1763.1,1635.09,1699.8,1699.8,85941300
32,1-May-18,1563.22,1635,1546.02,1629.62,1629.62,71615500
33,1-Apr-18,1417.62,1638.1,1352.88,1566.13,1566.13,129919600
34,1-Mar-18,1513.6,1617.54,1365.2,1447.34,1447.34,130400100
35,1-Feb-18,1445,1528.7,1265.93,1512.45,1512.45,137784000
36,1-Jan-18,1172,1472.58,1170.51,1450.89,1450.89,96371200
37,1-Dec-17,1172.05,1194.78,1124.74,1169.47,1169.47,57760200
38,1-Nov-17,1105.4,1213.41,1086.87,1176.75,1176.75,77165000
39,1-Oct-17,964,1122.79,950.37,1105.28,1105.28,83334100
40,1-Sep-17,984.2,1000,931.75,961.35,961.35,59291800
41,1-Aug-17,996.11,1006.4,936.33,980.6,980.6,77391800
42,1-Jul-17,972.79,1083.31,951,987.78,987.78,78812400
43,1-Jun-17,998.59,1017,927,968,968,96135400
44,1-May-17,927.8,1001.2,927.8,994.62,994.62,76202000
45,1-Apr-17,888,949.59,884.49,924.99,924.99,73539700
46,1-Mar-17,853.05,890.35,833.5,886.54,886.54,60710700
47,1-Feb-17,829.21,860.86,803,845.04,845.04,71748300
48,1-Jan-17,757.92,843.84,747.7,823.48,823.48,70614000
49,1-Dec-16,752.41,782.46,736.7,749.87,749.87,73660200
50,1-Nov-16,799,800.84,710.1,750.57,750.57,110085900
51,1-Oct-16,836,847.21,774.61,789.82,789.82,77063800
52,1-Sep-16,770.9,839.95,756,837.31,837.31,67335700
53,1-Aug-16,759.87,774.98,750.35,769.16,769.16,50000400
54,1-Jul-16,717.32,766,716.54,758.81,758.81,68635500
55,1-Jun-16,720.9,731.5,682.12,715.62,715.62,74540900
56,1-May-16,663.92,724.23,656,722.79,722.79,90614500
57,1-Apr-16,590.49,669.98,585.25,659.59,659.59,78464200
58,1-Mar-16,556.29,603.24,538.58,593.64,593.64,94009500
59,1-Feb-16,578.15,581.8,474,552.52,552.52,124144800
60,1-Jan-16,656.29,657.72,547.18,587,587,130200900
